"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"Hmox11",8.89001200969562e-19,0.825005227164536,1,0.163,3.18706930547588e-15,"25","Hmox1",0.837,0.782148903188869
"C1qa1",1.02736958440328e-18,1.09992116733571,1,0.171,3.68311996008577e-15,"25","C1qa",0.829,0.772258924160872
"C1qb1",1.02788989943585e-18,1.30356966215206,1,0.214,3.68498528947751e-15,"25","C1qb",0.786,0.720231578406405
"Gngt21",1.41091520997765e-18,0.338058246777569,1,0.216,5.05813102776987e-15,"25","Gngt2",0.784,0.717856771218502
"Vcam11",1.7070123016974e-18,0.834742860532091,1,0.218,6.11963910158519e-15,"25","Vcam1",0.782,0.715485866755755
"Slc40a11",3.65970048311232e-18,0.4842100207679,1,0.266,1.31200262319577e-14,"25","Slc40a1",0.734,0.659722595233746
"Pld32",3.69451090386943e-18,0.532717358447803,1,0.207,1.32448215903719e-14,"25","Pld3",0.793,0.728574323907065
"Sirpa1",4.13204155678013e-18,0.33873983057967,1,0.306,1.48133689810568e-14,"25","Sirpa",0.694,0.614845103115656
"Mpeg12",6.35369236797021e-18,0.443250580666773,1,0.416,2.27779871391732e-14,"25","Mpeg1",0.584,0.49817873457909
"Selenop1",8.66480006076138e-18,0.805446234274666,1,0.532,3.10633082178296e-14,"25","Selenop",0.468,0.38458370273713
"Timp21",8.69479911366155e-18,0.166468486109827,0.982,0.162,3.11708548224766e-14,"25","Timp2",0.82,0.770346893781959
"Trf2",1.01212735796279e-17,0.675125944702764,1,0.619,3.62847657829661e-14,"25","Trf",0.381,0.304897014359521
"Ctsc2",1.13208973621214e-17,0.37228376943729,1,0.594,4.05854170432051e-14,"25","Ctsc",0.406,0.327348370671615
"Cfp2",1.2132871466028e-17,0.790467051898873,1,0.598,4.34963442057105e-14,"25","Cfp",0.402,0.32373259173411
"Ctss4",1.31893529538227e-17,0.838796545851908,1,0.517,4.72838303394545e-14,"25","Ctss",0.483,0.398778914415054
"Ctsa1",1.47820991104349e-17,0.278576008594092,1,0.806,5.2993825310909e-14,"25","Ctsa",0.194,0.147202107181229
"H2-DMb1",1.54484668588233e-17,0.138562276566683,1,0.414,5.53827536888817e-14,"25","H2-DMb1",0.586,0.500217879852688
"Tbxas1",1.72353088050959e-17,0.104048255605536,0.982,0.142,6.17885820662688e-14,"25","Tbxas1",0.84,0.795394311823646
"Lgals3bp1",2.02625668556417e-17,0.322567559964975,1,0.749,7.26413021774754e-14,"25","Lgals3bp",0.251,0.193469710740434
"Grn2",2.10594835847904e-17,0.447695438483914,1,0.854,7.54982486514734e-14,"25","Grn",0.146,0.109358756036556
"Ctsb5",2.19560380076449e-17,1.47717378603481,1,0.958,7.87123962574069e-14,"25","Ctsb",0.042,0.0306192350583919
"Itm2c2",2.29938463622168e-17,0.222109668213371,1,0.688,8.24329392085472e-14,"25","Itm2c",0.312,0.244685095954902
"Lst17",3.08886360649396e-17,0.297558194165355,1,0.883,1.10735760292808e-13,"25","Lst1",0.117,0.0869670000478588
"Ctsd4",3.32082295210087e-17,1.04493083852626,1,0.976,1.19051502832816e-13,"25","Ctsd",0.024,0.0174170530774094
"Actn1",4.57251941725796e-17,0.143481123899492,1,0.265,1.63924821108698e-13,"25","Actn1",0.735,0.660862615080414
"Dnase2a",6.09371590643238e-17,0.115250739947857,1,0.609,2.18459715245601e-13,"25","Dnase2a",0.391,0.313835673938641
